BottleName,Price,Description,Link
"Torbreck 'Woodcutter's' Shiraz 2018/19, Barossa","

£19.99                        ","Torbreck is one of Barossa's most celebrated wineries, and the Woodcutter's Shiraz is a delicious introduction to its full-bodied arsenal.  ","/wines/torbreck-woodcutters-shiraz-59142,/wines/torbreck-woodcutters-shiraz-59142,/wines/torbreck-woodcutters-shiraz-59142#reviews"
Viña Alarde Rioja Reserva 2015/16,"

£7.49                        ","From an award-winning bodega, this is a fruity, rich Rioja Reserva at great value. Sweetly red-fruity. Brambly. Rich.","/wines/rioja-reserva-14138,/wines/rioja-reserva-14138,/wines/rioja-reserva-14138#reviews"
Castello Banfi Rosso di Montalcino DOC 2019,"

£16.99                        ",A fresher alternative to Brunello made by an acclaimed Montalcino winery. ,"/wines/banfi-rosso-di-montalcino-13962,/wines/banfi-rosso-di-montalcino-13962,/wines/banfi-rosso-di-montalcino-13962#reviews"
Au Bon Climat Pinot Noir 'Isabelle' 2017/18 California,"

£42.99                        ",A Burgundy-style Pinot Noir made by the pioneering Jim Clendenen. Flavours of red cherry and oak.,"/wines/au-bon-climat-pinot-noir-isabelle-18958,/wines/au-bon-climat-pinot-noir-isabelle-18958,/wines/au-bon-climat-pinot-noir-isabelle-18958#reviews"
"Videla Aranda Malbec 2021, Mendoza","

£6.99                        ","Previously at Cháteau Margaux, Winemaker Stephen Huse uses high-altitude vines and careful oak ageing to create a complex red that has soft tannins alongside notes of black fruit and violets. ","/wines/aranda-malbec-40217,/wines/aranda-malbec-40217,/wines/aranda-malbec-40217#reviews"
"Definition Zinfandel 2019, Lodi","

£7.99                        ","Big. Bold. Black-fruity. It’s classic full-on and fruity Zinfandel, made by our buyers with a producer named ‘USA Producer of the Year’ five times.","/wines/definition-zinfandel-18125,/wines/definition-zinfandel-18125,/wines/definition-zinfandel-18125#reviews"
"Pio Cesare Nebbiolo 2016, Langhe","

£18.99                        ","This full-bodied, savoury Nebbiolo. It’s remarkably fresh, with intense notes of ripe and juicy red fruits. Rich roast lamb will balance its firm tannins perfectly.","/wines/pio-cesare-langhe-nebbiolo-13899,/wines/pio-cesare-langhe-nebbiolo-13899,/wines/pio-cesare-langhe-nebbiolo-13899#reviews"
"Viñalba Malbec-Bonarda 2019/20/21, Mendoza","

£8.99                        ","Expect flavours of plum, blackcurrant and violets and delicate floral aromas. Try it with risotto. ","/wines/vinalba-malbec-bonarda-40174,/wines/vinalba-malbec-bonarda-40174,/wines/vinalba-malbec-bonarda-40174#reviews"
"Mayu Carménère Appassimento 2018, Chile","

£9.99                        ","The world’s first appassimento Carménère from the only commercial winery in the Elqui Valley, Chile’s most extreme wine region. Rich. Plummy. Peppery.","/wines/mayu-carmenere-apassimento-39407,/wines/mayu-carmenere-apassimento-39407,/wines/mayu-carmenere-apassimento-39407#reviews"
La Màgia Organic Brunello di Montalcino DOCG 2015/16,"

£35.99                        ","With an excellent balance of poise and power, this Brunello has a bright palate of red berries, minerality and gentle spice.","/wines/la-magia-brunello-organic-13976,/wines/la-magia-brunello-organic-13976,/wines/la-magia-brunello-organic-13976#reviews"
Castello di Meleto 'San Pietro' Chianti Classico DOCG 2019,"

£12.99                        ","Expect complex notes of cherries, flowers and vanilla. Serve now with leg of lamb or cellar for another five years.","/wines/san-pietro-chianti-classico-73010,/wines/san-pietro-chianti-classico-73010,/wines/san-pietro-chianti-classico-73010#reviews"
"Tenuta dell'Ornellaia ‘Le Volte’ 2019, Tuscany","

£22.99                        ",A structured Super Tuscan made by one of Italy's most in-demand wineries. ,"/wines/le-volte-dell-ornellaia-13181,/wines/le-volte-dell-ornellaia-13181,/wines/le-volte-dell-ornellaia-13181#reviews"
Marqués de Riscal Gran Reserva Rioja 2014/15,"

£24.99                        ",An exceptional Gran Reserva Rioja made from 80-year-old vines. Will age well for decades. ,"/wines/riscal-gran-reserva-14304,/wines/riscal-gran-reserva-14304,/wines/riscal-gran-reserva-14304#reviews"
"Indomita 'Duette' Pinot Noir 2019/20, Casablanca Valley","

£9.99                        ",The delicate Pinot Noir grape is pampered by Pacific breezes on Chile's cool-climate Casablanca Valley.,"/wines/duette-pinot-noir-39443,/wines/duette-pinot-noir-39443,/wines/duette-pinot-noir-39443#reviews"
"Definition Valpolicella Ripasso Superiore DOC 2017/18, Italy","

£11.99                        ","Expect aromas of cherry jam, tobacco and black pepper and silky tannins. Try it with slow-cooked beef ragù.","/wines/definition-valpolicella-13963,/wines/definition-valpolicella-13963,/wines/definition-valpolicella-13963#reviews"
"Viña Errázuriz ‘Estate Series’ Merlot 2020, Valle de Curicó","

£6.99                        ","Soft, smooth Merlot from one of Chile's top wine estates. Red fruit, caramel and mocha.  ","/wines/errazuriz-estate-series-merlot-39244,/wines/errazuriz-estate-series-merlot-39244,/wines/errazuriz-estate-series-merlot-39244#reviews"
Ammazza Montepulciano 2019,"

£7.99                        ","This is a modern take on traditional Italian reds - bold, characterful and  full of flavour.''","/wines/ammazza-montepulciano-13494,/wines/ammazza-montepulciano-13494,/wines/ammazza-montepulciano-13494#reviews"
"Corallo Nero d’Avola Organic 2020, Sicily","

£7.99                        ","This is bright and packed with red-berry aromas. It's smooth, fresh and incredibly drinkable. You’ll love it with meat dishes, such as ox-cheek ragù.","/wines/corallo-nero-davola-organic-73012,/wines/corallo-nero-davola-organic-73012,/wines/corallo-nero-davola-organic-73012#reviews"
Barbera D'Alba Villa de Forville 2019/20,"

£11.99                        ","Produced from the Barbera grape, from vines over 40 years old, it reveals concentrated dark fruits on the nose, soft tannins and lively acidity.","/wines/barbera-dalba-villa-de-forville-13596,/wines/barbera-dalba-villa-de-forville-13596,/wines/barbera-dalba-villa-de-forville-13596#reviews"
"Rupert & Rothschild 'Classique' 2017/18, South Africa","

£13.99                        ","The Rothschild wine legacy began with James de Rothschild at Château Lafite, one of the world's most prestigious wineries.","/wines/rupert-rothschild-classique-20388,/wines/rupert-rothschild-classique-20388,/wines/rupert-rothschild-classique-20388#reviews"
"MAN Family Wines 'Outentiek' Syrah 2020, South Africa","

£7.99                        ","A medium-bodied, peppery style of Syrah with bright red-fruit notes and polished tannins. Try it with crispy pork belly.","/wines/outentiek-syrah-20449,/wines/outentiek-syrah-20449"
"Marea Syrah 2019/20, Chile","

£11.99                        ","Thought Chile ends at good value? Think again. If you do some digging, you can find refined reds on cool-climate sites. Like the Marea.","/wines/marea-syrah-39430,/wines/marea-syrah-39430,/wines/marea-syrah-39430#reviews"
Definition Côtes Du Rhône 2018/19,"

£8.99                        ",Juicy. Red-fruity. Spicy. A moreish and delicious organic Côtes du Rhône made by our buyers with the Perrin brothers – of Château de Beaucastel fame.,"/wines/definition-cotes-du-rhone-06067,/wines/definition-cotes-du-rhone-06067,/wines/definition-cotes-du-rhone-06067#reviews"
Vidal-Fleury Côtes du Rhône 2017/18,"

£9.99                        ","Brilliant garnet in colour, with a classic Rhône nose of bramble fruits and heady spice. The medium-bodied palate has fresh and snappy red fruit surrounded by firm and persistent tannins.","/wines/cotes-du-rhone-06275,/wines/cotes-du-rhone-06275,/wines/cotes-du-rhone-06275#reviews"
"Dogajolo Carpineto 2018/19, Toscana","

£9.99                        ",Sangiovese and Cabernet Sauvignon grapes are vinified separately then allowed to harmonise in oak barrels to produce a soft and intensely fruity wine.,"/wines/dogajolo-carpineto-13018,/wines/dogajolo-carpineto-13018,/wines/dogajolo-carpineto-13018#reviews"
Dolcetto d'Alba 2020 De Forville,"

£9.99                        ","Bright ruby in colour, with an expressive nose of youthful fruits. Rich, dark cherries and liquorice on the palate and a fresh finish.","/wines/dolcetto-dalba-13099,/wines/dolcetto-dalba-13099,/wines/dolcetto-dalba-13099#reviews"
"Ciabot Berton Barolo 2017/18, La Morra","

£25.99                        ","It's elegant and full-bodied, with aromas of roses, truffle, blackcurrant and cinnamon. Try it with venison stew.   ","/wines/barolo-13677,/wines/barolo-13677,/wines/barolo-13677#reviews"
La Garnacha 2019 Salvaje del Moncayo,"

£8.99                        ",Powerful aromas of wild berries and tobacco leaf are tempered by a sense of freshness and floral edges. The middleweight palate has ripe red fruit and a Burgundian minerality.,"/wines/la-garnacha-14009,/wines/la-garnacha-14009,/wines/la-garnacha-14009#reviews"
Viña Alarde Rioja Gran Reserva 2013,"

£9.99                        ",Gran Reserva is the crème de la crème of Rioja. Aged for even longer than legally required for Gran Reserva – giving it spicy dried-fruit flavours.,"/wines/rioja-gran-reserva-14199,/wines/rioja-gran-reserva-14199,/wines/rioja-gran-reserva-14199#reviews"
Rioja Reserva 2015/16 Marqués de Cáceres,"

£12.99                        ","A rich, layered Reserva only produced in excellent vintages.","/wines/marques-de-caceres-resva-14322,/wines/marques-de-caceres-resva-14322,/wines/marques-de-caceres-resva-14322#reviews"
Marqués de Cáceres Rioja Crianza 2017,"

£9.99                        ","It’s full of candied red fruit flavours and very smooth to drink, thanks to elegant tannins. A wine for a gourmet burger, comforting stew or chorizo-based dishes.","/wines/rioja-crianza-14323,/wines/rioja-crianza-14323,/wines/rioja-crianza-14323#reviews"
Rioja Gran Reserva 2012 Marqués de Cáceres,"

£17.99                        ","Showing great complexity with notes of roasted coffee, spice, plum and strawberry. Powerful in the mouth with fleshy fruit and nuances of toasty, well-integrated oak leading to a balanced finish.","/wines/marques-caceres-gran-res-14377,/wines/marques-caceres-gran-res-14377,/wines/marques-caceres-gran-res-14377#reviews"
"Château la Sauvageonne 'Grand Vin' 2018, Terrasses du Larzac Organic","

£21.99                        ","A robust, fleshy wine with plenty of fine-grained tannins giving weight, volume and an enduring texture.","/wines/la-sauvageonne-grand-vin-09034,/wines/la-sauvageonne-grand-vin-09034,/wines/la-sauvageonne-grand-vin-09034#reviews"
Ramón Bilbao 'Selección Especial' Rioja 2019,"

£7.49                        ",Ripe. Fruity. This blend of Tempranillo and Garnacha showcases the best vineyards of Rioja.,"/wines/rioja-single-vineyard-14416,/wines/rioja-single-vineyard-14416,/wines/rioja-single-vineyard-14416#reviews"
"Finca Carelio Tempranillo 2018, Spain","

£7.99                        ","The genius of Finca Carelio is that we use declassified wine – so you get all the quality, plus serious savings. Rich, ripe and full of black fruits. Delicious.","/wines/finca-carelio-tempranillo-14553,/wines/finca-carelio-tempranillo-14553,/wines/finca-carelio-tempranillo-14553#reviews"
"Two Hands 'Bella's Garden' Shiraz 2017/18, Barossa Valley","

£35.00                        ","With an explosive nose of pencil lead, crushed blueberry and black cherry, it has an opaque purple colour, glorious thick texture and fantastic balance for such a big wine.","/wines/bellas-garden-shiraz-19805,/wines/bellas-garden-shiraz-19805,/wines/bellas-garden-shiraz-19805#reviews"
"Duckhorn Cabernet Sauvignon 2017/18, California","

£49.49                        ",Duckhorn have quickly become one of America's star winemaking names. And it's all thanks to this iconic Napa Cabernet. ,"/wines/duckhorn-cabernet-sauvignon-18864,/wines/duckhorn-cabernet-sauvignon-18864,/wines/duckhorn-cabernet-sauvignon-18864#reviews"
"Oyster Bay Merlot 2019/20, Hawke's Bay","

£9.99                        ","Plumy, jammy and ripe berry fruits augmented by hints of spice, toasted oak and chocolate aromas are followed by a rich, rounded and fruity palate with subtle oak and spices and an intense finish.","/wines/oyster-bay-merlot-37142,/wines/oyster-bay-merlot-37142,/wines/oyster-bay-merlot-37142#reviews"
"Definition Pinot Noir 2019/20, Marlborough","

£13.49                        ","Deliciously savoury, black fruity, silky Pinot – from Marlborough, an up-and-comer in the Kiwi Pinot Noir world known for intense, dark fruity wines.","/wines/definition-marlborough-pinot-noir-37364,/wines/definition-marlborough-pinot-noir-37364,/wines/definition-marlborough-pinot-noir-37364#reviews"
"Viñalba ‘Cuvée Diane’ 2017, Mendoza","

£35.99                        ","Rich, complex and award-winning. This is an Argentinian Malbec with a Bordeaux sensibility.","/wines/cuvee-diane-40128,/wines/cuvee-diane-40128,/wines/cuvee-diane-40128#reviews"
"BenMarco Malbec 2020, Mendoza","

£9.99                        ",Ripe. Juicy. Concentrated. The grapes for BenMarco come from sites so extreme they’d never been considered for viticulture before.,"/wines/ben-marco-malbec-40070,/wines/ben-marco-malbec-40070,/wines/ben-marco-malbec-40070#reviews"
"Viñalba 'Reserve' Malbec 2019/20, Mendoza","

£9.99                        ",Hervé Fabre was the first to make single-varietal Malbec in Mendoza. It’s the Uco Valley benchmark. Rich with dark fruit and chocolate.,"/wines/vialba-reserve-malbec-40072,/wines/vialba-reserve-malbec-40072,/wines/vialba-reserve-malbec-40072#reviews"
"Kangarilla Road Primitivo 2018, McLaren Vale","

£10.99                        ","A dark, richly perfumed red wine with aromas of strawberry jelly, roses, tea and orange. One to drink with barbecued ribs or lamb curry.","/wines/kangarilla-road-primitivo-19287,/wines/kangarilla-road-primitivo-19287,/wines/kangarilla-road-primitivo-19287#reviews"
"Rustenberg 'RM Nicholson' 2020, Stellenbosch","

£11.99                        ","A fruity blend of Shiraz, Merlot and Cabernet from an unsurpassed winemaker.","/wines/rustenberg-rm-nicholson-20259,/wines/rustenberg-rm-nicholson-20259,/wines/rustenberg-rm-nicholson-20259#reviews"
"Two Hands 'Angels' Share' Shiraz 2019/20, McLaren Vale","

£17.99                        ",Two Hands are Aussie Shiraz experts – they cherry-pick the best Shiraz grapes for their wines. Bold. Heady. Silky textured and full of jammy fruity.,"/wines/angels-share-shiraz-19016,/wines/angels-share-shiraz-19016,/wines/angels-share-shiraz-19016#reviews"
"Luis Felipe Edwards Gran Reserva Merlot 2019/20, Colchagua Valley","

£7.99                        ","Colchagua Valley is red wine country. Fresh. Fruity. This is intensely ripe, velvety Merlot from award-winning vineyards 900 meters above sea level.","/wines/luis-felipe-edwards-gran-reserva-merlot-39300,/wines/luis-felipe-edwards-gran-reserva-merlot-39300,/wines/luis-felipe-edwards-gran-reserva-merlot-39300#reviews"
"Château Meyney 'La Chapelle de Meyney' 2014/15, Saint-Estèphe","

£21.99                        ","This 92-point claret is made by Château Meyney, the only winery in Bordeaux that has clay soils similar to those at £2,500-per-bottle Pétrus.","/wines/chateau-meyney-la-chapelle-de-meyney-2014-saint-estephe-61215,/wines/chateau-meyney-la-chapelle-de-meyney-2014-saint-estephe-61215,/wines/chateau-meyney-la-chapelle-de-meyney-2014-saint-estephe-61215#reviews"
"Making Tracks Shiraz 2019/20, South Australia","

£8.99                        ","This is bramble-laden and bold - everything a big Australian red should be. And there’s plenty of flavour for the price. Jammy black fruits, pepper and vanilla spice.","/wines/making-tracks-shiraz-59200,/wines/making-tracks-shiraz-59200,/wines/making-tracks-shiraz-59200#reviews"
"Les Hauts de Castelmaure 2018/19, Corbières","

£10.99                        ","An expressive and open red, this has notes of damson jam and cassis, and that unmistakable 'garrigue' aroma of heather and wild thyme.","/wines/castelmaure-corbieres-09009,/wines/castelmaure-corbieres-09009,/wines/castelmaure-corbieres-09009#reviews"
"Yalumba 'The Signature' Cabernet Sauvignon-Shiraz 2015/16, Barossa","

£33.99                        ","Almost equal parts Cabernet Sauvignon and Shiraz, it?s a rich, full-bodied cocktail of mocha, plum, cherry and black pepper that boasts plenty of complexity.","/wines/yalumba-the-signature-cabernet-shiraz-59105,/wines/yalumba-the-signature-cabernet-shiraz-59105,/wines/yalumba-the-signature-cabernet-shiraz-59105#reviews"
"Gabb Family Cabernet Sauvignon 2018, Stellenbosch","

£9.99                        ",The velvety texture is the result of maturation - the wine is at the perfect drinking age and has fine textured tannins.,"/wines/gabb-family-cabernet-sauvignon-20357,/wines/gabb-family-cabernet-sauvignon-20357,/wines/gabb-family-cabernet-sauvignon-20357#reviews"
"Definition Carménère 2019, Maipo Valley","

£8.99                        ","Enjoy its intense black fruit flavours, notes of tobacco, cinnamon and cloves.","/wines/definition-carmenere-39420,/wines/definition-carmenere-39420,/wines/definition-carmenere-39420#reviews"
"VIK Milla Cala 2018/20, Cachapoal Valley","

£27.99                        ",Premium and complex wine from a Chilean great. A previous vintage was featured in Decanter's Best 100 Wines in the World.,"/wines/vik-milla-cala-39431,/wines/vik-milla-cala-39431,/wines/vik-milla-cala-39431#reviews"
"1000 Stories' Bourbon Barrel Zinfandel 2018, California","

£14.99                        ","When Bob Blue began making wine, it was tough to get French oak barrels.","/wines/1000-stories-bourbon-zinfandel-18767,/wines/1000-stories-bourbon-zinfandel-18767,/wines/1000-stories-bourbon-zinfandel-18767#reviews"
"Château d'Anglés 'Grand Vin' 2018, La Clape","

£15.99                        ","Eric Fabre was head winemaker at £500-per-bottle Château Lafite, but now works in the highly sought-after Languedoc enclave La Clape.","/wines/chateau-dangles-la-clape-09249,/wines/chateau-dangles-la-clape-09249,/wines/chateau-dangles-la-clape-09249#reviews"
"Desprat Saint Verny 'Le Tracteur Bleu' Gamay 2018, Côtes-d'Auvergne","

£8.99                        ",Spicy and fruity Gamay grown on volcanic soils.,"/wines/le-tracteur-bleu-gamay-09212,/wines/le-tracteur-bleu-gamay-09212,/wines/le-tracteur-bleu-gamay-09212#reviews"
"Bread and Butter Cabernet Sauvignon 2019, California","

£13.99                        ","A Majestic exclusive. It's aged in both French and American oak to deepen its complexity and soften the texture for an smooth sip. Expect lavish notes of vanilla and sweet spice, blackberry, cherries and chocolate. Fantastic with steak in blue-cheese sauce.","/wines/bread-and-butter-cabernet-sauvignon-18756,/wines/bread-and-butter-cabernet-sauvignon-18756,/wines/bread-and-butter-cabernet-sauvignon-18756#reviews"
"Château les Tresquots 2016, Médoc","

£13.99                        ","Hints of oak spice, blackcurrant and dark cherry and a fresh, elegant character.","/wines/chateau-les-tresquots-medoc-61212,/wines/chateau-les-tresquots-medoc-61212,/wines/chateau-les-tresquots-medoc-61212#reviews"
"Zuccardi 'Serie A' Malbec/Tempranillo 2019, Mendoza","

£12.99                        ","Full-bodied, yet remarkably elegant, with notes of black fruit and plum, and fine tannins. Excellent with steak.","/wines/zuccardi-serie-a-40275,/wines/zuccardi-serie-a-40275,/wines/zuccardi-serie-a-40275#reviews"
"Pelleriti 'Signature' Malbec 2019, Mendoza","

£15.99                        ",First-class Malbec from the first Latin American winemaker to score a perfect 100 Parker Points.,"/wines/pelleriti-signature-malbec-40280,/wines/pelleriti-signature-malbec-40280,/wines/pelleriti-signature-malbec-40280#reviews"
"LB7 Red Reserva 2018, Lisbon","

£8.99                        ","For this Reserva, we dialled up the intensity of our famous LB7. The result? A supple and moreish wine bursting with flavour.","/wines/lb7-lisboa-red-reserva-15131,/wines/lb7-lisboa-red-reserva-15131,/wines/lb7-lisboa-red-reserva-15131#reviews"
Vignali Aglianico del Vulture 2018/19,"

£9.99                        ","The looming Monte Vulture may look like an intimidating place to make wine, but it hasn't erupted for thousands of years, and it's now where you'll find some of Italy's most impressive soils.","/wines/vignali-aglianico-del-vulture-13915,/wines/vignali-aglianico-del-vulture-13915,/wines/vignali-aglianico-del-vulture-13915#reviews"
"Pala Cannonau 2019/20, Sardinia","

£8.99                        ","The Grenache of Italy made by one of Sardinia's most celebrated winemaking families. Intense and full-bodied, with plenty of red fruits.","/wines/eclessa-cannonau-di-sardegna-13928,/wines/eclessa-cannonau-di-sardegna-13928,/wines/eclessa-cannonau-di-sardegna-13928#reviews"
"Katie Jones 'L'Histoire' 2019, Fitou","

£7.99                        ","Notes of wild berries, rosemary and thyme from a star British winemaker.","/wines/along-came-jones-lhistoire-09084,/wines/along-came-jones-lhistoire-09084,/wines/along-came-jones-lhistoire-09084#reviews"
"Catena Zapata ‘Nicasia’ Malbec 2018, Uco Valley","

£59.99                        ","""Warm, velvety and floral. This delightful wine hails from one of the Uco Valley's exceptional hidden vineyards, uncovered by the acclaimed Catena Zapata family. ""","/wines/catena-zapata-nicasia-malbec-40223,/wines/catena-zapata-nicasia-malbec-40223,/wines/catena-zapata-nicasia-malbec-40223#reviews"
"Creation Pinot Noir 2019/20, Walker Bay","

£16.99                        ","A bright, polished wine with notes of red berries, vanilla and wood spice, grown from vines planted 350 metres above sea level.","/wines/creation-pinot-noir-20423,/wines/creation-pinot-noir-20423,/wines/creation-pinot-noir-20423#reviews"
